mprove50_x,mprove50_y
11,6.707403096977967e-11
12,4.055413360036952e-11
13,9.050234149323888e-11
14,1.3822978489182343e-09
15,-3.9937555757437913e-10
16,-5.32517628830942e-10
17,-2.0057505071721834e-09
17,3.3978528471264216e-09
17,2.4497007278284123e-09
17,5.076064541565035e-09
17,-4.5166543218556206e-08
17,-8.70321295153567e-09
17,-1.099288299158585e-08
17,-6.043742104520326e-08
17,1.9828551190863966e-08
17,1.1566384335342866e-08
17,7.271810157194811e-09
17,3.682233201717408e-08
17,5.512353853988679e-08
17,1.7430779315207642e-07
17,-1.5723201930393314e-06
17,-4.977892812354356e-07
17,-8.772328370089476e-07
17,-1.2567279301159395e-05
17,2.6503088721663817e-06
17,3.255081608437807e-06
17,1.4589520366872725e-05
17,-1.1987574292093809e-05
17,-1.0566221268503008e-05
3,-2.8769397316889794e-15
2,-4.784053429875918e-15
1,3.054073119529112e-15
0,3.7140388658419897e-16
1,-1.7080710289014909e-15
4,-1.3926147592230518e-14
5,-2.037477192413984e-12
6,2.1168827583261749e-13
7,5.324910010418291e-13
8,3.7149572784703755e-12
9,-8.300307083159315e-12
10,-1.0317205756367983e-11
11,-3.4320747018194564e-11
12,4.375954326702592e-10
13,1.386699495221623e-10
14,2.6978627509804014e-10
15,2.056713489922803e-09
16,-1.4512691202445182e-09
17,-1.6711248211871267e-09
18,-5.195341179428345e-09
18,1.4747495850901888e-08
18,8.26760405941726e-09
18,1.5293317158838466e-08
18,-8.53536118913624e-06
18,-3.272878970763428e-08
18,-3.796541354048716e-08
18,-1.490952567625042e-07
18,9.299430749925915e-08
18,5.552342468764421e-08
18,6.780417738225768e-08
18,3.370039873427487e-08
18,1.2814418222754284e-07
18,4.363387327849581e-07
18,-1.1783955434365148e-05
18,-1.6415462307269572e-06
18,-2.736242026851184e-06
18,-2.2909879614835367e-05
18,9.904662526784606e-06
18,1.1342792006230628e-05
18,4.3595868091778506e-05
18,-4.937748128207761e-05
3,-1.6591418404052904e-14
2,2.356265506087261e-15
1,-0.0
0,-2.462693944835726e-15
1,7.259186303772202e-15
4,-1.4902923171122218e-14
5,-6.022349407378326e-14
6,-1.209852752787769e-12
7,9.113563547055686e-13
8,1.8872732376697794e-12
9,1.00653712705823e-11
10,-3.7990660203505956e-11
11,-3.563179649137924e-11
12,-1.0090952899801502e-10
13,-3.9763483501791035e-08
14,4.872850932762198e-10
15,8.247560168716686e-10
16,4.325333807808119e-09
17,-5.543472838695203e-09
18,-5.371985029860263e-09
19,-1.4252575740711094e-08
19,7.49807929579686e-08
19,2.8551520943932774e-08
19,4.7340461218915146e-08
19,5.409478775902709e-07
19,-1.2566198706857754e-07
19,-1.3228465642737613e-07
19,-4.1624979298468176e-07
19,4.3617673087596487e-07
19,2.440046186160751e-07
19,3.3795491501986855e-07
19,-4.5355171794218367e-07
19,2.241395550379547e-07
19,1.0319403390914687e-06
19,6.512816905226107e-05
19,-5.3826072609335e-06
19,-8.53097783414232e-06
